Date,Player,League,Stat,Line,Side,Implied_Win_%,FD_Odds
2026-02-12,Kyle Filipowski,NBA,Pts+Rebs,24.5,Over,50.0,-114
2026-02-12,Kevin Porter,NBA,Rebounds,5.5,Over,50.0,-114
2026-02-12,Aaron Wiggins,NBA,Assists,3.5,Under,50.0,-114
2026-02-12,Kevin Porter,NBA,3-Pt Made,1.5,Over,50.0,-114
2026-02-12,Kevin Porter,NBA,3-Pt Made,1.5,Under,50.0,-114
2026-02-12,Myles Turner,NBA,Blocks,1.5,Over,50.0,-114
2026-02-12,Myles Turner,NBA,Blocks,1.5,Under,50.0,-114
2026-02-12,Kyle Kuzma,NBA,Rebounds,5.5,Under,50.0,-114
2026-02-12,Kyle Kuzma,NBA,Rebounds,5.5,Over,50.0,-114
2026-02-12,Jericho Sims,NBA,Pts+Rebs,13.5,Over,50.0,-114
2026-02-12,Jericho Sims,NBA,Pts+Rebs,13.5,Under,50.0,-114
2026-02-12,Kevin Porter,NBA,Rebounds,5.5,Under,50.0,-114
2026-02-12,Kyle Kuzma,NBA,Points,12.5,Over,50.0,-114
2026-02-12,Myles Turner,NBA,Points,12.5,Under,50.0,-114
2026-02-12,Donovan Clingan,NBA,Pts+Rebs,25.5,Over,50.0,-114
2026-02-12,Kyle Kuzma,NBA,Points,12.5,Under,50.0,-114
2026-02-12,Donovan Clingan,NBA,Pts+Rebs,25.5,Under,50.0,-114
2026-02-12,Aaron Wiggins,NBA,Assists,3.5,Over,50.0,-114
2026-02-12,Myles Turner,NBA,Points,12.5,Over,50.0,-114
2026-02-12,Max Christie,NBA,Points,15.5,Under,49.6,-114
2026-02-12,Max Christie,NBA,Assists,2.5,Under,49.6,-114
2026-02-12,AJ Green,NBA,Pts+Rebs+Asts,15.5,Under,49.6,-114
2026-02-12,Naji Marshall,NBA,Pts+Rebs,24.5,Over,49.39,-112
2026-02-12,AJ Green,NBA,Pts+Rebs,13.5,Under,49.39,-112
2026-02-12,Naji Marshall,NBA,Pts+Rebs+Asts,28.5,Over,49.39,-112
2026-02-12,P.J. Washington,NBA,Pts+Rebs,20.5,Under,49.39,-112
2026-02-12,AJ Green,NBA,Points,10.5,Under,49.39,-112
2026-02-12,Jerami Grant,NBA,Pts+Rebs,23.5,Under,49.39,-112
2026-02-12,Luguentz Dort,NBA,Points,10.5,Under,49.39,-112
2026-02-12,Isaiah Hartenstein,NBA,Points,10.5,Under,49.39,-112
2026-02-12,Cason Wallace,NBA,Pts+Rebs,16.5,Over,49.39,-112
2026-02-12,LeBron James,NBA,Pts+Rebs,29.5,Under,49.39,-112
2026-02-12,LeBron James,NBA,Rebs+Asts,14.5,Over,49.39,-112
2026-02-12,Deandre Ayton,NBA,Points,12.5,Under,49.39,-112
2026-02-12,Donovan Clingan,NBA,Pts+Rebs+Asts,28.5,Under,49.39,-112
2026-02-12,Marcus Smart,NBA,3-Pt Made,1.5,Over,49.39,-112
2026-02-12,Jrue Holiday,NBA,Pts+Asts,22.5,Under,49.39,-112
2026-02-12,Ace Bailey,NBA,Pts+Rebs+Asts,25.5,Over,49.39,-112
2026-02-12,Toumani Camara,NBA,Pts+Rebs+Asts,21.5,Over,49.39,-112
2026-02-12,P.J. Washington,NBA,Points,14.5,Under,49.39,-112
2026-02-12,Kevin Porter,NBA,Pts+Asts,25.5,Over,49.39,-112
2026-02-12,Isaiah Collier,NBA,Pts+Rebs+Asts,32.5,Under,49.39,-112
2026-02-12,Isaiah Collier,NBA,Pts+Asts,27.5,Under,49.39,-112
2026-02-12,Brice Sensabaugh,NBA,3-Pt Made,2.5,Under,48.99,-110
2026-02-12,Jake LaRavia,NBA,Points,9.5,Under,48.99,-110
2026-02-12,Kyle Filipowski,NBA,Pts+Rebs+Asts,27.5,Under,48.99,-110
2026-02-12,Cody Williams,NBA,Rebounds,3.5,Under,48.99,-110
2026-02-12,Kyle Filipowski,NBA,Points,15.5,Over,48.99,-110
2026-02-12,Luguentz Dort,NBA,Pts+Rebs,14.5,Under,48.99,-110
2026-02-12,Donovan Clingan,NBA,Points,13.5,Over,48.99,-110
2026-02-12,Deni Avdija,NBA,Pts+Asts,28.5,Over,48.99,-110
2026-02-12,Kevin Porter,NBA,Pts+Rebs,23.5,Under,48.8,-110
2026-02-12,Aaron Wiggins,NBA,Pts+Asts,20.5,Under,48.58,-108
2026-02-12,Marcus Smart,NBA,Pts+Asts,14.5,Over,48.58,-108
2026-02-12,Cason Wallace,NBA,Pts+Asts,17.5,Over,48.58,-108
2026-02-12,Chet Holmgren,NBA,Pts+Rebs+Asts,29.5,Over,48.58,-108
2026-02-12,Max Christie,NBA,Pts+Asts,18.5,Over,48.58,-108
2026-02-12,Austin Reaves,NBA,Pts+Asts,31.5,Under,48.58,-108
2026-02-12,Kyle Kuzma,NBA,Pts+Rebs,18.5,Over,48.58,-108
2026-02-12,Chet Holmgren,NBA,Pts+Rebs,28.5,Over,48.58,-108
2026-02-12,Max Christie,NBA,Pts+Rebs+Asts,21.5,Under,48.58,-108
2026-02-12,Aaron Wiggins,NBA,Pts+Rebs,21.5,Over,48.58,-108
2026-02-12,Caleb Martin,NBA,Pts+Rebs,10.5,Under,48.58,-108
2026-02-12,Daniel Gafford,NBA,Pts+Rebs,16.5,Under,48.58,-108
2026-02-12,Cason Wallace,NBA,Rebs+Asts,7.5,Under,48.58,-108
2026-02-12,Austin Reaves,NBA,Pts+Rebs+Asts,35.5,Under,48.58,-108
2026-02-12,Kevin Porter,NBA,Pts+Rebs+Asts,31.5,Over,48.58,-108
2026-02-12,Brice Sensabaugh,NBA,Pts+Rebs,22.5,Under,48.58,-108
2026-02-12,Brice Sensabaugh,NBA,Pts+Asts,20.5,Under,48.58,-108
2026-02-12,Jerami Grant,NBA,Pts+Rebs+Asts,25.5,Over,48.58,-108
2026-02-12,Isaiah Collier,NBA,Pts+Rebs,20.5,Over,48.58,-108
2026-02-12,Jericho Sims,NBA,Points,5.5,Over,48.08,-106
2026-02-12,Isaiah Collier,NBA,Points,16.5,Over,48.08,-106
2026-02-12,Deni Avdija,NBA,Pts+Rebs+Asts,35.5,Under,48.08,-106
2026-02-12,Toumani Camara,NBA,Points,13.5,Under,48.08,-106
2026-02-12,Isaiah Hartenstein,NBA,Pts+Asts,15.5,Under,48.08,-106
2026-02-12,Deandre Ayton,NBA,Pts+Rebs,21.5,Under,48.08,-106
2026-02-12,Bobby Portis,NBA,Rebounds,5.5,Under,48.08,-106
2026-02-12,Jrue Holiday,NBA,Rebs+Asts,10.5,Under,48.08,-106
2026-02-12,Isaiah Hartenstein,NBA,Pts+Rebs,19.5,Under,48.08,-106
2026-02-12,Ace Bailey,NBA,Pts+Rebs,23.5,Under,48.08,-106
2026-02-12,Brice Sensabaugh,NBA,Pts+Rebs+Asts,24.5,Over,48.08,-106
2026-02-12,LeBron James,NBA,Points,22.5,Over,47.59,-104
2026-02-12,Aaron Wiggins,NBA,Pts+Rebs+Asts,25.5,Under,47.59,-104
2026-02-12,LeBron James,NBA,Pts+Rebs+Asts,37.5,Under,47.59,-104
2026-02-12,Cason Wallace,NBA,Pts+Rebs+Asts,20.5,Under,47.59,-104
2026-02-12,Deni Avdija,NBA,Rebs+Asts,11.5,Under,47.59,-104
2026-02-12,Isaiah Hartenstein,NBA,Pts+Rebs+Asts,25.5,Under,47.59,-104
2026-02-12,Jrue Holiday,NBA,Pts+Rebs+Asts,26.5,Over,47.59,-104
2026-02-12,Cody Williams,NBA,Points,8.5,Over,47.59,-104
2026-02-12,Toumani Camara,NBA,Rebs+Asts,7.5,Over,47.59,-104
2026-02-12,Jrue Holiday,NBA,Points,15.5,Over,47.18,-102
2026-02-12,Marcus Smart,NBA,Points,11.0,Under,47.18,-102
2026-02-12,Chet Holmgren,NBA,Points,19.0,Under,47.18,-102
2026-02-12,Toumani Camara,NBA,Pts+Asts,15.5,Over,47.18,-102
2026-02-12,Toumani Camara,NBA,Pts+Rebs,19.5,Over,47.18,-102
2026-02-12,Jerami Grant,NBA,Points,19.5,Under,47.18,-102
2026-02-12,Bobby Portis,NBA,Pts+Rebs,17.5,Over,47.18,-102
2026-02-12,Myles Turner,NBA,Pts+Rebs,18.5,Over,47.18,-102
2026-02-12,Max Christie,NBA,Pts+Rebs,19.5,Over,47.18,-102
2026-02-12,Myles Turner,NBA,Rebounds,5.5,Over,47.18,-102
2026-02-12,Austin Reaves,NBA,Rebounds,4.5,Under,47.18,-102
2026-02-12,Kyle Kuzma,NBA,Pts+Rebs+Asts,20.5,Over,47.18,-102
2026-02-12,Ace Bailey,NBA,Pts+Asts,20.5,Over,47.18,-102
2026-02-12,Naji Marshall,NBA,Pts+Asts,23.5,Over,47.18,-102
2026-02-12,Bobby Portis,NBA,Points,11.5,Over,47.18,-102
2026-02-12,Cason Wallace,NBA,Points,13.5,Under,47.18,-102
2026-02-12,Marcus Smart,NBA,Pts+Rebs+Asts,18.5,Over,46.77,100
2026-02-12,Aaron Wiggins,NBA,Points,16.5,Over,46.77,100
2026-02-12,Deni Avdija,NBA,Points,22.5,Over,46.77,100
2026-02-12,Naji Marshall,NBA,Points,18.5,Under,46.77,100
2026-02-12,Jake LaRavia,NBA,Pts+Rebs,14.5,Under,46.77,100
2026-02-12,Deni Avdija,NBA,Rebounds,6.5,Over,46.77,100
2026-02-12,Austin Reaves,NBA,Rebs+Asts,11.0,Under,46.21,102
2026-02-12,LeBron James,NBA,Rebounds,6.0,Over,46.21,102
2026-02-12,Austin Reaves,NBA,Rebs+Asts,10.5,Under,46.21,102
2026-02-12,Kevin Porter,NBA,Points,17.5,Over,46.21,102
2026-02-12,Isaiah Hartenstein,NBA,Rebs+Asts,14.0,Over,46.21,102
2026-02-12,Kyle Filipowski,NBA,Rebs+Asts,12.0,Over,46.21,102
2026-02-12,Isaiah Collier,NBA,Rebs+Asts,15.0,Over,46.21,102
2026-02-12,Donovan Clingan,NBA,Rebs+Asts,14.0,Over,46.21,102
2026-02-12,Jrue Holiday,NBA,Assists,6.5,Over,46.21,102
2026-02-12,Chet Holmgren,NBA,Rebounds,9.0,Under,45.96,104
2026-02-12,Naji Marshall,NBA,Assists,4.0,Under,45.81,104
2026-02-12,Marcus Smart,NBA,Rebs+Asts,7.0,Under,45.81,104
2026-02-12,Isaiah Collier,NBA,Assists,11.0,Over,45.42,106
2026-02-12,Kyle Filipowski,NBA,Rebounds,9.0,Over,45.42,106
2026-02-12,P.J. Washington,NBA,Rebounds,6.0,Under,45.42,106
2026-02-12,Isaiah Hartenstein,NBA,Rebounds,9.0,Over,45.42,106
2026-02-12,Donovan Clingan,NBA,Rebounds,12.0,Under,44.89,108
2026-02-12,Jrue Holiday,NBA,Rebounds,4.0,Over,44.89,108
2026-02-12,Deni Avdija,NBA,Assists,5.0,Over,44.89,108
2026-02-12,Daniel Gafford,NBA,Rebounds,7.0,Under,44.52,110
2026-02-12,Naji Marshall,NBA,Rebounds,5.0,Over,44.52,110
2026-02-12,Kevin Porter,NBA,Assists,7.0,Over,44.52,110
2026-02-12,Deandre Ayton,NBA,Rebounds,9.0,Under,44.52,110
2026-02-12,Max Christie,NBA,Rebs+Asts,6.0,Over,43.92,114
2026-02-12,Isaiah Collier,NBA,Rebounds,4.0,Under,43.65,114
2026-02-12,LeBron James,NBA,Assists,8.0,Under,43.65,114
2026-02-12,Luguentz Dort,NBA,Rebounds,4.0,Under,43.65,114
2026-02-12,Cason Wallace,NBA,Assists,4.0,Over,43.65,114
2026-02-12,Jake LaRavia,NBA,Rebounds,4.0,Over,43.42,116
2026-02-12,Caleb Martin,NBA,Rebounds,4.0,Under,43.3,116
2026-02-12,Jerami Grant,NBA,Rebs+Asts,6.0,Under,43.05,116
2026-02-12,Toumani Camara,NBA,Rebounds,5.0,Over,42.83,118
2026-02-12,Jericho Sims,NBA,Rebounds,8.0,Over,42.83,118
2026-02-12,Austin Reaves,NBA,Assists,6.0,Under,42.48,120
2026-02-12,Ace Bailey,NBA,Rebounds,5.0,Over,42.15,122
2026-02-12,Aaron Wiggins,NBA,Rebounds,4.0,Over,40.95,128
2026-02-12,Brice Sensabaugh,NBA,Rebounds,4.0,Over,40.95,128
