PLAYER_ID,NAME,TEAM,PTS,REB,AST,FG3M,BLK,STL,TOV,PRA,PR,PA,RA,SB,FGM,FTM,FTA
1626162,Kelly Oubre Jr.,CHA,16.3,5.4,1.8,2.2,0.5,1.6,1.2,23.8,21.4,17.0,7.8,1.9,5.7,1.8,2.2
1642348,Justin Edwards,PHI,12.1,2.3,1.1,2.0,0.3,0.8,0.6,16.6,15.4,13.3,3.6,1.1,4.0,1.4,2.4
1630570,Trendon Watford,POR,11.1,4.0,2.5,0.6,0.4,0.7,1.2,18.4,15.7,14.3,6.8,1.1,4.2,1.7,2.7
203954,Joel Embiid,PHI,31.3,8.3,4.8,1.6,1.1,0.9,3.1,46.3,42.4,35.6,13.2,2.1,10.9,7.7,8.7
1641780,Johni Broome,PHI,0.1,0.5,0.2,0.0,0.1,0.1,0.2,0.9,0.6,0.2,0.8,0.2,-0.0,0.0,0.1
1631116,Patrick Baldwin Jr.,GSW,0.1,0.8,0.3,0.0,0.1,0.1,0.2,1.0,0.9,0.3,0.9,0.2,0.0,0.0,0.0
1631230,Dominick Barlow,SAS,12.0,4.7,1.2,0.7,0.5,0.8,0.8,17.6,16.9,12.2,6.0,1.3,4.2,1.8,2.6
1629646,Charles Bassey,SAS,4.3,5.6,0.8,0.0,0.9,0.5,0.7,9.9,9.8,5.8,6.9,1.2,1.6,0.8,1.7
1641737,Adem Bona,PHI,9.4,4.5,0.8,0.1,0.9,0.5,0.8,15.3,14.6,11.1,5.6,1.4,3.5,1.5,3.2
1631133,Jabari Walker,POR,-0.0,0.9,0.2,-0.0,0.1,0.2,0.2,1.2,0.9,0.1,1.3,0.3,-0.0,-0.0,0.1
1642845,VJ Edgecombe,PHI,7.9,5.6,3.8,1.0,0.5,1.3,1.5,17.2,14.4,10.7,9.0,1.7,2.8,1.3,1.7
203903,Jordan Clarkson,UTA,7.2,2.1,2.0,0.8,0.2,0.5,0.9,11.3,9.1,8.8,3.8,0.6,2.5,0.5,0.6
1630540,Miles McBride,NYK,7.8,2.3,2.6,1.2,0.2,0.8,0.9,13.1,10.6,11.0,4.4,1.0,2.6,0.8,0.8
1628404,Josh Hart,POR,17.1,7.0,4.7,2.4,0.4,1.1,1.8,28.8,24.2,22.9,11.8,1.5,6.3,2.4,2.6
1642359,Pacôme Dadiet,NYK,0.0,0.6,0.3,0.0,0.1,0.2,0.2,0.9,0.6,0.4,0.9,0.2,0.0,0.0,0.0
1630631,Jose Alvarado,NOP,4.7,2.7,2.5,0.8,0.2,0.8,0.9,9.8,6.9,7.5,5.3,1.0,1.8,0.6,1.0
1628384,OG Anunoby,TOR,17.6,5.1,2.8,2.4,0.7,1.5,1.9,27.3,23.8,19.2,8.5,2.2,6.8,2.4,3.5
1641755,Kevin McCullar Jr.,NYK,0.2,0.6,0.8,0.0,0.1,0.2,0.3,1.5,0.7,0.9,1.6,0.2,0.0,0.0,0.0
1628973,Jalen Brunson,NYK,26.3,3.9,6.3,2.6,0.2,1.0,2.3,35.3,30.5,33.5,9.9,1.1,9.1,5.8,7.2
1642278,Tyler Kolek,NYK,0.4,0.6,1.2,0.0,0.1,0.2,0.6,2.0,0.9,1.8,1.9,0.2,0.1,0.0,0.0
1629011,Mitchell Robinson,NYK,6.1,8.0,1.0,-0.0,1.1,0.8,0.7,15.1,13.5,7.3,9.1,1.6,2.4,1.2,2.7
1628969,Mikal Bridges,PHX,22.2,3.6,3.6,2.9,0.6,1.0,1.4,30.0,26.3,26.2,6.9,1.6,8.0,2.9,3.2
1626157,Karl-Anthony Towns,MIN,17.6,11.0,2.9,1.5,0.6,0.8,2.1,33.6,30.2,21.5,14.4,1.3,6.5,2.6,4.1
1641794,Dillon Jones,OKC,0.0,0.7,0.3,-0.0,0.1,0.1,0.2,0.9,0.6,0.3,1.2,0.2,-0.0,-0.0,0.0
1629013,Landry Shamet,PHX,10.9,2.7,2.2,2.2,0.2,0.8,0.7,16.8,14.4,13.8,5.3,0.9,3.8,0.9,1.5
1641998,Trey Jemison III,WAS,-0.0,1.0,0.3,-0.0,0.2,0.1,0.3,1.2,1.0,0.3,1.4,0.2,-0.0,0.0,0.1
1642885,Mohamed Diawara,NYK,7.8,2.5,1.2,1.9,0.3,0.5,0.7,10.8,9.8,8.5,3.6,0.8,2.8,0.3,0.2
1630574,Ariel Hukporti,NYK,9.2,5.2,0.8,0.2,0.7,0.4,0.8,15.9,15.2,10.6,6.4,1.3,3.6,1.5,2.1
1630639,A.J. Lawson,DAL,0.0,0.6,0.2,-0.0,0.1,0.1,0.2,0.8,0.6,0.3,0.7,0.2,0.0,0.0,0.1
1641711,Gradey Dick,TOR,9.1,2.9,1.1,1.3,0.2,0.7,0.7,12.8,12.0,10.1,4.2,0.8,3.4,1.1,1.7
1642367,Jonathan Mogbo,TOR,0.0,0.8,0.3,-0.0,0.2,0.2,0.3,1.3,0.9,0.7,1.2,0.3,0.0,0.0,0.1
101108,Chris Paul,PHX,7.8,2.5,2.7,1.3,0.2,1.1,0.8,12.9,9.8,10.3,5.3,1.1,2.9,1.0,1.3
1627742,Brandon Ingram,NOP,17.7,5.6,4.1,1.4,0.7,0.8,1.9,27.1,22.3,20.2,9.7,1.6,6.8,3.4,4.4
1630567,Scottie Barnes,TOR,21.7,8.8,6.4,1.0,1.3,1.2,3.1,37.7,31.4,28.9,15.3,2.3,8.0,3.5,4.4
1630193,Immanuel Quickley,NYK,24.2,4.3,5.5,4.2,0.3,1.0,1.9,34.0,28.4,29.2,9.8,1.4,8.4,3.5,3.5
1629628,RJ Barrett,NYK,19.5,5.9,3.8,1.6,0.4,0.8,2.1,29.4,25.7,23.6,10.1,1.2,7.0,3.3,4.6
1642867,Collin Murray-Boyles,TOR,10.0,4.6,2.8,0.5,1.1,0.9,1.5,16.3,13.9,12.6,8.4,2.2,4.3,0.6,0.7
1642266,Ja'Kobe Walter,TOR,6.7,2.8,1.6,0.9,0.2,0.9,0.8,11.6,9.9,8.8,4.6,1.0,2.6,1.0,1.0
202066,Garrett Temple,NOP,-0.0,0.3,0.3,0.1,0.1,0.1,0.1,0.6,0.3,0.3,0.6,0.1,-0.0,-0.0,-0.0
1627751,Jakob Poeltl,SAS,6.8,7.4,2.1,-0.0,0.9,0.7,1.3,16.6,14.2,8.9,7.8,1.9,3.5,0.4,-0.2
1642347,Jamal Shead,TOR,7.3,2.4,5.4,0.9,0.3,1.0,1.8,14.1,10.1,12.3,7.5,1.1,2.4,1.8,2.8
1642935,Chucky Hepburn,TOR,-0.0,0.4,0.3,0.0,0.1,0.2,0.2,0.5,0.3,0.2,0.7,0.2,-0.0,-0.0,0.0
1631218,Trayce Jackson-Davis,GSW,7.4,4.1,1.1,0.1,0.7,0.5,0.7,13.0,12.8,8.6,5.4,1.1,2.8,1.3,2.3
1630572,Sandro Mamukelashvili,MIL,18.5,5.5,2.0,2.7,0.6,0.9,1.2,25.0,22.2,20.1,7.6,1.6,6.7,2.1,2.2
1642918,Alijah Martin,TOR,2.2,1.8,1.0,0.1,0.3,0.6,0.4,5.4,4.2,3.1,2.9,0.8,0.9,0.2,0.1
1642419,Jamison Battle,TOR,0.2,0.7,0.3,0.0,0.1,0.1,0.2,1.1,0.8,0.4,1.0,0.2,0.0,0.0,0.1
1631105,Jalen Duren,DET,17.5,8.3,1.7,-0.0,0.9,0.7,1.5,29.5,26.6,18.9,10.9,1.5,6.9,2.9,3.6
1630595,Cade Cunningham,DET,25.5,5.3,8.2,1.7,0.7,1.2,3.3,39.5,30.9,33.9,14.0,1.9,9.1,4.8,6.6
1642403,Isaac Jones,SAC,2.9,1.6,0.5,0.2,0.2,0.3,0.4,5.1,4.4,3.1,1.8,0.5,1.5,0.0,0.1
1641842,Ronald Holland II,DET,6.4,4.6,1.3,0.5,0.4,1.1,1.0,12.8,11.3,8.1,6.1,1.5,2.4,1.1,1.8
1630194,Paul Reed,PHI,11.3,5.3,1.7,0.8,0.8,0.9,1.0,19.3,16.1,14.2,6.9,1.8,4.2,1.9,2.8
1627747,Caris LeVert,CLE,7.3,2.9,3.1,0.8,0.6,1.0,1.4,12.3,10.0,9.2,5.8,1.5,2.5,1.9,2.5
1641709,Ausar Thompson,DET,5.2,6.2,2.7,0.1,0.9,1.5,1.2,14.9,12.3,7.6,9.5,2.5,2.2,0.6,0.9
202699,Tobias Harris,PHI,10.7,5.4,2.3,1.1,0.5,0.9,1.2,18.7,18.0,13.1,7.1,1.4,4.0,1.8,2.7
1631111,Wendell Moore Jr.,MIN,-0.1,0.6,0.4,-0.0,0.1,0.1,0.2,0.8,0.5,0.4,1.0,0.2,-0.0,0.0,0.1
1642404,Chaz Lanier,DET,7.9,1.8,0.9,1.7,0.2,0.4,0.4,10.3,9.3,8.8,2.4,0.6,3.1,0.8,0.4
1642450,Daniss Jenkins,DET,4.5,2.1,2.4,0.2,0.2,0.8,1.0,7.4,5.8,5.9,4.0,0.9,1.8,0.4,0.4
1631204,Marcus Sasser,DET,0.1,0.4,1.2,0.0,0.1,0.2,0.6,1.4,0.1,1.1,1.2,0.4,0.0,-0.0,-0.0
1628989,Kevin Huerter,SAC,0.2,1.3,1.1,0.0,0.3,0.5,0.4,2.1,1.7,1.5,1.9,0.8,-0.0,-0.0,-0.0
1630191,Isaiah Stewart,DET,5.7,4.1,1.1,0.2,0.9,0.3,0.9,10.1,8.9,6.7,4.7,1.1,2.7,0.2,0.1
1629750,Javonte Green,CHI,3.4,3.0,0.9,0.2,0.4,1.0,0.7,7.0,6.1,4.4,3.9,1.4,1.5,1.2,1.8
1641752,Bobi Klintman,DET,-0.0,0.6,0.2,0.0,0.1,0.1,0.2,0.6,0.4,0.1,0.9,0.1,-0.0,-0.0,0.0
1642449,Tolu Smith,DET,4.9,4.7,0.8,0.1,0.6,0.4,0.7,10.5,10.0,5.6,6.2,1.2,1.9,0.9,1.7
1629130,Duncan Robinson,MIA,18.4,2.7,2.2,4.2,0.2,0.6,1.1,24.0,20.7,21.5,4.9,0.7,6.2,1.6,2.0
1628988,Aaron Holiday,ATL,0.0,0.4,0.5,-0.0,0.1,0.2,0.3,0.6,0.2,0.2,0.7,0.3,-0.0,0.0,-0.0
1641708,Amen Thompson,HOU,17.9,7.2,5.4,0.6,0.8,1.4,2.3,31.4,26.9,22.8,12.5,2.2,7.1,2.8,2.9
1627827,Dorian Finney-Smith,DAL,5.9,2.3,1.3,1.9,0.4,0.7,0.5,9.2,8.5,7.3,4.0,1.1,2.3,0.2,0.1
1631120,JD Davison,BOS,8.5,2.2,1.9,1.4,0.2,0.5,0.8,13.6,11.3,11.6,4.2,0.7,3.3,0.5,0.4
1627832,Fred VanVleet,TOR,12.4,3.5,5.4,2.6,0.4,1.3,1.6,21.7,16.3,19.7,9.1,1.7,4.3,1.9,2.7
201142,Kevin Durant,BKN,23.4,5.1,4.9,1.9,0.9,1.0,3.3,30.5,28.6,26.3,9.8,1.9,7.6,5.3,7.7
1630256,Jae'Sean Tate,HOU,-0.0,0.8,0.4,0.0,0.1,0.1,0.2,1.1,0.8,0.5,1.1,0.2,0.0,0.0,0.1
1631095,Jabari Smith Jr.,HOU,14.5,7.4,1.8,1.8,1.0,0.9,1.2,23.7,22.0,17.2,8.7,1.9,5.2,2.3,3.2
203500,Steven Adams,MEM,7.6,9.4,1.3,0.0,0.8,0.7,1.1,18.5,16.3,9.0,10.2,1.6,3.0,1.6,3.3
1641803,Tristen Newton,IND,-0.0,0.4,0.2,0.0,0.1,0.1,0.2,0.4,0.3,0.2,0.5,0.1,-0.0,0.0,0.0
1642263,Reed Sheppard,HOU,17.5,2.7,3.1,3.1,0.5,1.5,1.8,21.7,19.9,19.1,5.4,2.0,6.1,1.5,1.2
1631106,Tari Eason,HOU,5.9,6.1,1.4,0.8,0.6,1.4,1.2,14.1,12.5,7.5,7.4,2.0,2.2,0.9,1.2
